unique_id,timepoint,age,gender,exclude_master,attention_check_1,attention_check_2,SITES_completeness,IRI_completeness,EQ_completeness,PET_completeness,EYES_completeness,PTP_completeness,SITES,IRI_FS,IRI_EC,IRI_PT,IRI_PD,IRI_total,EQ_total,EQ_cog,EQ_aff,EQ_soc,PET_total,EYES_total,PTP_simple,PTP_reversed,PTP_doublereversed,PTP_total,PTTA_total,IRI_1,IRI_2,IRI_3,IRI_4,IRI_5,IRI_6,IRI_7,IRI_8,IRI_9,IRI_10,IRI_11,IRI_12,IRI_13,IRI_14,IRI_15,IRI_16,IRI_17,IRI_18,IRI_19,IRI_20,IRI_21,IRI_22,IRI_23,IRI_24,IRI_25,IRI_26,IRI_27,IRI_28,EQ_1,EQ_4,EQ_6,EQ_8,EQ_10,EQ_11,EQ_12,EQ_14,EQ_15,EQ_18,EQ_19,EQ_21,EQ_22,EQ_25,EQ_26,EQ_27,EQ_28,EQ_29,EQ_32,EQ_34,EQ_35,EQ_36,EQ_37,EQ_38,EQ_39,EQ_41,EQ_42,EQ_43,EQ_44,EQ_46,EQ_48,EQ_49,EQ_50,EQ_52,EQ_54,EQ_55,EQ_57,EQ_58,EQ_59,EQ_60,PET_1,PET_2,PET_3,PET_4,PET_5,PET_6,PET_7,EYES_1,EYES_2,EYES_3,EYES_4,EYES_5,EYES_6,EYES_7,EYES_8,EYES_9,EYES_10,EYES_11,EYES_12,EYES_13,EYES_14,EYES_15,EYES_16,EYES_17,EYES_18,EYES_19,EYES_20,EYES_21,EYES_22,EYES_23,EYES_24,EYES_25,EYES_26,EYES_27,EYES_28,EYES_29,EYES_30,EYES_31,EYES_32,EYES_33,EYES_34,EYES_35,EYES_36,PTP_1,PTP_2,PTP_3,PTP_4,PTP_5,PTP_6,PTP_7,PTP_8,PTP_9,PTTA_1,PTTA_2,PTTA_3,PTTA_4,PTTA_5,PTTA_6,PTTA_7,PTTA_8,PTTA_9,PTTA_10,PTTA_11,PTTA_12,PTTA_13,PTTA_14,PTTA_15,PTTA_16,PTTA_17,PTTA_18,PTTA_19,PTTA_20,PTTA_21,PTTA_22,PTTA_23,PTTA_24,PTTA_25,PTTA_26,PTTA_27,PTTA_28,PTTA_29,PTTA_30,PTTA_31,PTTA_32
5,1,35,female,include,passed,passed,complete,complete,complete,complete,complete,complete,5,17,22,20,16,75,40,15,12,8,3.2857142857142856,30,3,4,0,7,13,1,3,4,4,3,3,4,3,3,3,3,1,2,3,2,3,2,4,2,2,3,3,3,2,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,3,4,2,4,3,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,37,male,include,passed,passed,complete,complete,complete,complete,complete,complete,5,17,23,19,4,63,33,18,9,5,3.857142857142857,26,3,3,2,8,21,3,2,3,4,3,0,3,3,4,0,3,2,3,3,3,2,1,4,0,3,3,3,2,0,2,2,0,2,2,0,0,2,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,2,0,2,1,1,1,0,1,0,1,2,1,2,1,1,1,1,5,3,3,4,5,4,3,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
7,1,44,female,include,passed,passed,complete,complete,complete,complete,complete,complete,4,18,19,17,15,69,28,7,14,5,4.857142857142857,27,3,3,1,7,1,4,3,3,1,3,2,3,3,3,3,2,3,2,3,3,1,3,3,2,3,3,3,2,2,1,2,1,2,0,0,1,0,0,1,1,0,0,2,1,1,1,0,1,1,1,1,1,1,0,0,0,2,1,0,1,1,0,2,1,1,1,0,0,1,0,1,1,1,4,5,5,5,5,5,5,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,22,female,include,passed,passed,complete,complete,complete,complete,complete,complete,4,10,14,15,12,51,24,5,9,7,3.142857142857143,20,3,4,1,8,10,3,2,2,2,1,2,1,3,3,2,2,1,2,2,2,1,1,2,3,1,3,2,2,1,1,1,1,2,1,1,0,0,1,1,0,1,1,2,0,0,0,1,1,0,1,1,0,2,0,0,0,1,2,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,3,1,3,4,3,4,4,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
9,1,27,female,include,passed,passed,complete,complete,complete,complete,complete,complete,5,12,16,15,7,50,67,27,18,13,3.2857142857142856,27,3,2,0,5,14,2,3,3,3,1,1,3,2,3,2,2,4,1,1,3,0,0,3,1,2,3,1,1,1,1,1,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,0,2,0,2,2,2,2,1,1,2,2,2,1,2,1,1,4,2,4,3,3,3,4,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,28,male,include,passed,passed,complete,complete,complete,complete,complete,complete,2,9,12,19,5,45,35,23,7,2,2.4285714285714284,19,3,3,1,7,10,3,1,4,1,1,2,1,3,3,0,2,3,1,2,2,0,0,2,2,0,3,3,1,0,2,0,0,3,2,1,1,0,0,2,1,0,0,2,2,0,1,2,2,0,1,0,0,0,0,2,0,1,0,2,0,1,2,1,0,0,0,2,2,2,0,2,0,1,3,1,2,4,1,3,3,1,0,1,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,39,male,include,passed,passed,complete,complete,complete,complete,complete,complete,4,16,18,17,14,65,26,9,9,3,4.571428571428571,28,3,3,2,8,11,2,2,3,3,1,2,3,2,3,3,3,2,2,2,2,2,1,3,2,2,3,3,3,2,2,3,2,2,1,1,1,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,2,1,0,1,1,2,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,5,4,4,5,4,5,5,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,35,female,include,passed,passed,complete,complete,complete,complete,complete,complete,4,10,16,14,7,47,40,19,11,3,1.7142857142857142,31,3,3,2,8,10,0,3,2,2,1,0,3,2,4,2,1,3,2,1,2,0,1,3,1,3,3,0,2,0,2,1,1,2,2,1,1,2,2,0,2,1,0,2,1,1,1,1,2,0,1,1,1,0,2,1,1,2,0,1,1,1,1,1,0,0,0,1,1,2,1,1,0,1,1,2,2,3,1,2,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,22,male,include,passed,passed,complete,complete,complete,complete,complete,complete,5,27,25,24,20,96,23,6,14,6,3.5714285714285716,23,3,4,0,7,11,4,4,3,2,4,4,4,3,4,4,4,3,2,4,3,4,4,3,2,4,4,4,4,2,3,4,2,4,0,0,2,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,2,1,0,2,1,0,1,0,0,2,0,1,0,0,0,2,2,5,3,4,3,5,3,2,0,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,45,female,include,passed,passed,complete,complete,complete,complete,complete,complete,3,26,16,21,10,73,38,11,14,9,3.2857142857142856,31,3,2,1,6,8,3,2,3,3,4,2,3,3,3,2,3,4,1,2,3,4,1,3,2,2,3,1,4,1,3,4,1,3,2,0,1,1,2,1,2,2,1,2,2,1,1,1,1,1,0,0,1,1,1,0,0,2,1,1,0,0,1,2,1,1,1,0,0,0,2,1,0,1,3,2,3,4,4,4,3,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
